unique_ids,ids,category_names,family_names,type_names,host_ids,BB_X_dims,BB_Y_dims,BB_Z_dims,BB_volumes,BB_centers,BB_plane_Zs,solid_volumes,room_names
6a92f13b-e972-4a49-ac87-2891c797679c-005bddfd,6020605,Doors,דלת הזזה דו כנפית+ארגז תריס+סף,200/230,7cf43b0a-3c36-4dcf-ae49-4479afd83b26-009bad0a,265,200,25,1.33E+06,"{5902.078941, 4070.150604, 2160.0}","{0,-1,0}",80733.5,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bddfe,6020606,Doors,דלת הזזה דו כנפית+סף,300/230,1b8db26b-b90f-432d-be29-7877f9a6cf48-009d7bb7,300,235,30,2.12E+06,"{7553.868821, 4566.124917, 2145.4}","{1,0,0}",123640,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bddff,6020607,Doors,דלת הזזה דו כנפית+סף,250/230,6a92f13b-e972-4a49-ac87-2891c797679c-005bddb2,250,232,10,580000,"{7543.868821, 5333.176291, 2146.9}","{1,0,0}",86040,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bde02,6020610,Walls,Basic Wall,בטון 22+ 3 טיח,-,28.621156,289.5,25,207145.6189,"{7524.558243, 3857.628799, 2172.25}","{0,-1,0}",207145.6189,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bde4e,6020686,Doors,דלת הזזה דו כנפית+סף,300/230,e3263173-2d25-4a56-8d43-0d385564bcc7-009f2952,300,232,10,696000,"{4636.578941, 4501.650604, 2146.9}","{-1,0,0}",96640,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bde4f,6020687,Doors,דלת הזזה דו כנפית+סף,280/230,7cf43b0a-3c36-4dcf-ae49-4479afd83b26-009baf64,280,232,10,649600,"{4900.167802, 4962.650604, 2146.9}","{-1,0,0}",92400,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bde9a,6020762,Walls,Basic Wall,בטון 20,-,290.5,70,20,406700,"{5698.167802, 4791.650604, 2171.75}","{0,1,0}",406700,-
5c72d02c-ba62-4e0a-b895-739960a06370-005be2c0,6021824,Walls,Basic Wall,בלוק 10,-,220,289.5,10,636900,"{5067.578941, 4145.130121, 1174.75}","{0,-1,0}",468900,-
5c72d02c-ba62-4e0a-b895-739960a06370-005be2c1,6021825,Doors,Wooden Door1,80/210,5c72d02c-ba62-4e0a-b895-739960a06370-005be2c0,80,210,10,168000,"{5048.078941, 4145.130121, 1135.0}","{0,-1,0}",96250,-
5c72d02c-ba62-4e0a-b895-739960a06370-005be365,6021989,Walls,Basic Wall,בלוק 10,-,220,289.5,10,636900,"{5067.578941, 4145.130121, 1507.25}","{0,-1,0}",468900,-
5c72d02c-ba62-4e0a-b895-739960a06370-005be3de,6022110,Walls,Basic Wall,בלוק 10,-,220,289.5,10,636900,"{5067.578941, 4145.130121, 1839.75}","{0,-1,0}",468900,-
0fe429f8-adec-4571-8ff0-364df162b945-005bf74f,6027087,Walls,Basic Wall,בטון 20,-,280.5,70,20,392700,"{5698.167802, 4791.650604, 2500.25}","{0,1,0}",389100,-
ba6341fd-2763-4952-b84e-b35847a95d25-005c4f95,6049685,Windows,Tovna_Mamad_Zinor4_Int,"8""_int",aa5b27e6-a640-461f-9ad1-8f6ccbd6537f-00539a30,16,16,29.5,7552,"{5192.328941, 4162.130121, 263.0}","{1,0,0}",1348.199181,-
ba6341fd-2763-4952-b84e-b35847a95d25-005c4f96,6049686,Windows,Tovna_Mamad_Zinor8_Int,"8""_int",aa5b27e6-a640-461f-9ad1-8f6ccbd6537f-00539a30,26,26,29.5,19942,"{5192.328941, 4112.130121, 263}","{1,0,0}",3138.904876,-
f186de04-2aa1-4107-8063-53cd02634703-005c5560,6051168,Windows,הזזה-דו-כנפיתריס-בלגי,200/120,e780a236-0e4d-4c9e-a856-d5a49475bc0b-009b06fd,154,208,32,1.03E+06,"{5435.167802, 5452.868599, 552}","{0,1,0}",80074.43179,-
f186de04-2aa1-4107-8063-53cd02634703-005c55bc,6051260,Windows,קיפ ציר תחתון+ארגז תריס,80/120,99ef31a0-1807-4148-8d2f-e9f79c399355-007d9721,154,88,30,406560,"{5455.167802, 5451.868599, 1549.5}","{0,1,0}",35833.19763,-
f186de04-2aa1-4107-8063-53cd02634703-005c5627,6051367,Windows,הזזה-דו-כנפיתריס-בלגי,200/120,0bd5d5e5-f846-477f-acb8-4c15993531ca-009bcc40,154,208,32,1.03E+06,"{5435.167802, 5452.868599, 2547}","{0,1,0}",80074.43179,-
02002ca4-2adf-4a5e-bf93-230816bb511b-005c5abc,6052540,Walls,Basic Wall,בלוק 10,-,417,275.5,10,1.15E+06,"{7243.368821, 4078.628799, 2497.75}","{1,0,0}",980835,-
02002ca4-2adf-4a5e-bf93-230816bb511b-005c5b3a,6052666,Walls,Basic Wall,בלוק 10,-,500.43409,275.5,10,1.38E+06,"{7288.651776, 4292.128799, 2497.75}","{0,-1,0}",1.38E+06,-
02002ca4-2adf-4a5e-bf93-230816bb511b-005c5e91,6053521,Walls,Basic Wall,בלוק 10,-,278.5,285.5,10,795117.5,"{7099.118821, 4182.128799, 2502.75}","{0,-1,0}",613342.5,-
